# Kalmasoft Databases
# Database of Arabic words of Amharic origin
# References: www.kalmasoft.com/KLEX/dbamara.htm
# Resources: Lexical Data Repository of the Ge'ez Frontier Foundation https://github.com/geezorg/data/tree/master/amharic; HornMorpho is part of the L3 Project http://www.cs.indiana.edu/~gasser/Research/projects.html; Carl W. Isenberg, Grammar of the Amharic Language
# Related works: www.kalmasoft.com/KLEX/dcamhara.htm, www.kalmasoft.com/KLEX/dbsyriac.htm
# Availability: https://github.com/Kalmasoft/Databases/blob/main/Amharic/KDBAMARA
# Terminology: www.kalmasoft.com/adevtool.htm
# Tools: Amharic Verb Conjugation generator www.kalmasoft.com/KMAPS/eamrconj.htm
# Created: 3/1/2021 8:38 AM
# Updated: 16/12/2021 12:54 PM
# Encoding: UTF8
# Delimiter: TAB
# Total entries: +3,690
# Copyright ©1999-2021 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# ================================================================================================
# Licensed under Creative Commons Attribution-ShareAlike 4.0 International license.
# This is a work in progress, not completed, any citations for academic purposes should include the date when the file was downloaded.
# ================================================================================================
# Attributes:
#	ID: 5 digits identification number, [A######]
#	Amharic: Amharic entry
#	AMIPA: Reading for Amharic (International Phonetic Alphabet)
#	ARIPA: Reading for Arabic (International Phonetic Alphabet)
#	Arabic: Arabic parallel word
#	AMClass/ARClass: Amharic/Arabic grammatical class
#		A: Adjective
#		D: Adverb
#		I: Infinitive (Amharic infinitive, Arabic Mimatic infinitive)
#		G: Gerund (Amharic gerund)
#		M: Masdar (Arabic infinitive)
#		N: Noun
#		NT: Arabic Temporal noun
#		NL: Arabic Locative noun
#		Ncol [iso]: Regional colloquial Arabic Noun, ISO3166-3 Alpha-2 country code, common to all Arab countries otherwise
#		R: Particle
#		P: Participle (Amharic and Arabic active participle)
#		Vcol [iso]: Regional colloquial Arabic Verb, ISO3166-3 Alpha-2 country code, common to all Arab countries otherwise
#		VI: Verb imperfective (Amharic contingent, Arabic imperfective)
#		VC: Verb compound imperfective (Amharic compound imperfective, Arabic emphatic imperfective)
#		VJ: Verb jussive
#		VM: Verb imperative
#		VP: Verb perfective
#	AMSubclass/ARSubclass: Amharic/Arabic entry grammatical subclass
#		CON: Conjunction
#		PRP: Preposition
#		SNG: Singular
#		PLR: Plural
#		ACC: Accusative case
#		NOM: Nominative case
#		DAT: Dative case
#		GEN: Genitive case
#		IND: Indicative mood
#		SUB: Subjunctive mood
#	AMDomain/ARDomain: Amharic/Arabic entry semantic domain
#		ANAT: Anatomy
#		ANIM: Animate
#		DMST: Domestic
#		DATE: Date
#		LANG: Language specific
#		NAME: Named entity
#		NUMB: Number
#		PLNT: Plant
#		RLGN: Religion
#	Category: Arabic entry usage category
#		ARC: Amharic archaic entry
#		FFM: full form morphology
#		NUS: not used in Arabic
#		SSH: semantically shifted in Arabic
#	RootAM: Amharic theoretical root
#	RootAR: Arabic root
#	Gloss: English meaning of the Amharic entry
# ================================================================================================

ID	Amharic	AMIPA	ARIPA	Arabic	AMClass	ARClass	AMSubclass	ARSubclass	AMDomain	ARDomain	Category	RootAM	RootAR	Gloss
A00110	አብራሪ	/ʔɛbɨraːr/	/ʔbraːr/	أبْرار	N	N							برر	pilot
A00111	በሪ	/bɛr/	/baːriʕ/	بَارِع	P	P						በራህ	برع	shine
A00112	በራ	/bɛraː/	/baraʕa/	بَرَعَ	VP	VP						በራህ	برع	shine
A00113	በራ፟	/bɛrraː/	/barraʕa/	بَرَّعَ	VP	VP						በራህ	برع	shine
A00114	በርቶ	/bɛrɨto/	/barʕun/	بَرْعٌ	G	M						በራህ	برع	shine
A00115	ይበራ	/jɨbɛraː/	/jabraʕ/	يَبْرع	VI	VI						በራህ	برع	shine
A00116	ይበራል	/jɨbɛraːl/	/jabraʕanna/	يَبْرَعَنَّ	VC	VC						በራህ	برع	shine
A00117	ባረቀ	/barɛkʼɛ/	/barq/	بَرْق	N	N							برق	flared, blazed up
A00118	ብራቅ	/bɨraːkʼ/	/baraːq/	بَرَّاق	N	Ncol [sd]							برق	flash of light
A00119	ብራቅ	/bɨraːkʼ/	/barq/	بَرْق	N	N	SNG	SNG					برق	flash of light
A00120	መብረቅ	/mɛbɨrɛkʼ/	/mabraq/	مَبْرَق	N	N							برق	flash, beam sparkle
A00121	መብረቅ	/mɛbɨrɛkʼ/	/mabraq/	مَبْرَق	N	N							برق	lightning
A00122	ይብራ	/jɨbɨraː/	/jabriq/	يَبْرِق	VI	VI							برق	shine
A00123	ተባረ፟ከ	/tɛbarrɛkɛ/	/tabarraka/	تَبَرَّكَ	VP	VP							برك	be blessed
A00124	ተባረክ	/tɛbarɛk/	/tabarrak/	تَبَرَّك	VM	VM							برك	be blessed
A00125	ተባራኪ	/tɛbaraːk/	/mubarrak/	مُبَرَّك	P	P							برك	be blessed
A00126	ተባርኮ	/tɛbarɨko/	/tabarrukun/	تَبَرُّكٌ	G	M							برك	be blessed
A00127	ይባ፟ረ፟ክ	/jɨbbarrɛk/	/jabarrik/	يَبَرِّك	VI	VI							برك	be blessed
A00128	እንብርክ	/ʔɨnɨbɨrɨk/	/inbiraːk/	إنْبِراك	N	N						ባህረከ	برك	being or going down on one's knees
A00129	በረከት	/bɛrɛkɛt/	/baraka/	بَرَكَة	N	N			RLGN	RLGN			برك	blessing
A00130	ብርካቴ	/bɨrɨkate/	/barakaːt/	بَرَكات	N	N			RLGN	RLGN			برك	excess, profusion, large quantity
A00131	መበርከት	/mɛbɛrɨkɛt/	/mabrak/	مَبْرَك	I								برك	increase, be abundant
A00132	በረከተ	/bɛrɛkɛtɛ/	/baːraka/	بَارَكَ	VP	VP							برك	increase, be abundant
A00133	በርክቶ	/bɛrɨkɨto/	/barakatun/	بَرَكَةٌ	G	M							برك	increase, be abundant
A00134	ይበረክታል	/jɨbɛrɛkɨtal/	/jabrikanna/	يَبْرِكَنَّ	VC	VC							برك	increase, be abundant
A00135	ይበርክት	/jɨbɛrɨkɨt/	/jabaːrik/	يَبْارِك	VI	VI				RLGN			برك	increase, be abundant
A00136	መባረክ	/mɛbarɛk/	/mabrak/	مَبْرَك	G	G						ባህረከ	برك	kneel
A00137	መባረክ	/mɛbarɛk/	/mabrak/	مَبْرَك	I							ባህረከ	برك	kneel
A00138	መንበርከክ	/mɛnɨbɛrɨkɛk/	/mabrak/	مَبْرَك	I							*በረከከ	برك	kneel
A00139	በርካኪ	/bɛrɨkak/	/barraːk/	بَرَّاك	P	P						*በረከከ	برك	kneel
A00140	ባረከ	/barɛkɛ/	/baraka/	بَرَكَ	VP	VP						ባህረከ	برك	kneel
A00141	ባራኪ	/baraːk/	/barraːk/	بَرَّاك	P	P						ባህረከ	برك	kneel
A00142	ባርኮ	/barɨko/	/barkun/	بَرْكٌ	G	M						ባህረከ	برك	kneel
A00143	ተንበረከከ	/tɛnɨbɛrɛkɛkɛ/	/baraka/	بَرَكَ	VP	VP						ባህረከ	برك	kneel
A00144	ይባርካል	/jɨbarɨkal/	/jabrikanna/	يَبْرِكَنَّ	VC	VC						ባህረከ	برك	kneel
A00145	ይባርክ	/jɨbarɨk/	/jabrik/	يَبْرِك	VI	VI						ባህረከ	برك	kneel
A00146	ይንበረከካል	/jɨnɨbɛrɛkɛkal/	/jabrikanna/	يَبْرِكَنَّ	VC	VC						*በረከከ	برك	kneel
A00147	ብራቅ	/bɨraːkʼ/	/biraːk/	بِرَاك	N	N							برك	levin, fulminator
A00148	መንበርከኪያ	/mɛnɨbɛrɨkɛkija/	/munbarak/	مُنْبَرَك	N	N						ባህረከ	برك	space for kneeling down
A00149	ቡራኬ	/buraːke/	/baraka/	بَرَكَة	N	N			RLGN	RLGN			برك	the saying of grace, before meal,
A00150	መፈረም	/mɛfɛrɛm/	/mabram/	مَبْرَم	I							ፈረ፟መ	برم	sign
A00151	ይፈርማል	/jɨfɛrɨmaːl/	/jabrimanna/	يَبْرِمَنَّ	VC	VC						ፈረ፟መ	برم	sign
A00152	ይፈርም	/jɨfɛrɨm/	/jabrim/	يَبْرِم	VI	VI						ፈረ፟መ	برم	sign
A00153	ፈረመ	/fɛrɛmɛ/	/barama/	بَرَمَ	VP	VP						ፈረ፟መ	برم	sign
A00154	ፈራሚ	/fɛraːm/	/barraːm/	بَرَّام	P	P						ፈረ፟መ	برم	sign
A00155	ፈርሞ	/fɛrɨmo/	/barmun/	بَرْمُ	G	M						ፈረ፟መ	برم	sign
A00156	ብርሃን	/bɨrɨhaːn/	/burhaːn/	بُرْهَان	N	N							برهن	daylight, luminosity radiance
A00157	ብርሃን	/bɨrɨhaːn/	/burhaːn/	بُرْهَان	N	N	SNG	SNG					برهن	glow, beam, unbutton for making the light on
A00158	ብርሀን	/bɨrɨhɛn/	/burhaːn/	بُرْهَان	N	N	SNG	SNG	DMST	DMST			برهن	light
A00159	በዛ፟	/bɛzza/	/bazzaza/	بَزَّزَ	VP	VP							بزز	be much
A00160	በዝቶ	/bɛzɨto/	/bazzun/	بَزٌّ	G	M							بزز	be much
A00161	በዢ	/bɛʒ/	/baːzz/	بَازّ	P	P							بزز	be much
A00162	ብዛ	/bɨza/	/bizz/	بِزّ	VM	VM							بزز	be much
A00163	ይበዛ	/jɨbɛza/	/jabazz/	يَبَزّ	VI	VI							بزز	be much
A00164	ብዝበዛ	/bɨzɨbɛza/	/ibtizaːz/	إبْتِزاز	N	N							بزز	extortion
A00165	መብዛት	/mɛbɨzat/	/mabzaz/	مَبْزَز	I							በዛህ	بزز	increase, be much
A00166	ይበዛል	/jɨbɛzal/	/jabzizanna/	يَبْزِزَنَّ	VC	VC						በዛህ	بزز	increase, be much
A00167	ብዛት	/bɨzat/	/bizaːz/	بِزاز	N	N							بزز	surplus, measure
A00168	ማብሰር	/maːbɨsɛr/	/mabʃar/	مَبْشَر	I							*በሰረ	بشر	announce
A00169	አበሰረ	/ʔɛbɛsɛrɛ/	/baʃara/	بَشَرَ	VP	VP						*በሰረ	بشر	announce
A00170	አብሳሪ	/ʔɛbɨsar/	/baːʃir/	بَاشِر	P	P						*በሰረ	بشر	announce
A00171	አብስሮ	/ʔɛbɨsɨro/	/baʃrun/	بَشْرٌ	G	M						*በሰረ	بشر	announce
A00172	ያበስራል	/jabɛsɨraːl/	/jabʃiranna/	يَبْشِرَنَّ	VC	VC						*በሰረ	بشر	announce
A00173	ያብስር	/jabɨsɨr/	/jabʃar/	يَبْشَر	VI	VI						*በሰረ	بشر	announce
A00174	ብስራት	/bɨsɨraːt/	/biʃaːra/	بِشَارة	N	N	SNG	SNG					بشر	excellent story
A00175	በዝባዥ	/bɛzɨbaʒ/	/basˤbaːsˤ/	بَصْبَاص	N	N							بصص	robber, one who takes selfish or unfair advantage of another
A00176	በዝባዥ	/bɛzɨbaʒ/	/balbaːsˤ/	بَلْبَاص	N	Ncol [sd]							بصص	robber, one who takes selfish or unfair advantage of another
A00177	በዳ	/bɛda/	/budˤʕ/	بُضْع	N	N							بضع	fucking
A00178	ብጥበጣ	/bɨtˤɨbɛtˤa/	/batˤbatˤa/	بَطْبَطة	N	N							بطبط	riot commotion, disorder
A00179	ብጥብጥ	/bɨtˤɨbɨtˤ/	/batˤbatˤa/	بَطْبَطة	N	N							بطبط	riot commotion, disorder
A00180	በትር	/bɛtɨr/	/batˤr/	بَطْر	N	N							بطر	heavy stick or club
A00181	ባል	/bal/	/baʕal/	بَعَل	N	N	SNG	SNG					بعل	husband
A00182	በቆሎ	/bɛkʼolo/	/baquːl/	بَقُول	N	N			PLNT	PLNT			بقل	corn
A00183	ብቅል	/bɨkʼɨl/	/baqal/	بَقَل	N	N							بقل	grain used to make alcoholic drinks
A00184	በኩር	/bɛkur/	/bikr/	بِكْر	N	N	SNG	SNG					بكر	oldest offspring
A00185	መንበልበል	/mɛnɨbɛlɨbɛl/	/mabalbal/	مَبَلْبَل	I							*በለበለ	بلبل	blaze up
A00186	በልባይ	/bɛlɨbaj/	/balbaːl/	بَلْبَال	P	P						*በለበለ	بلبل	blaze up
