# Kalmasoft Databases
# Database of Romanized Arabic Names (Given/Surnames)
# References: www.kalmasoft.com/KLEX/dbgivnm.htm, www.kalmasoft.com/KLEX/dbsurnm.htm, www.kalmasoft.com/KLEX/dbvarom.htm
# Created: 13/4/2019
# Updated: 17/2/2024
# Encoding: UTF8
# Delimiter: TAB
# Total entries: +1M
# Unique given names: +50K
# Unique surnames: +250K
# Countries covered: 20
# Copyright 1999-2019 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# ================================================
# Attributes:
#	ID: Reference ID; A: Arabic, N: non-Arabic
#	Arabic: unvocalized Arabic name
#	Vocalized: vocalized Arabic name
#	Roman: Roman transcription
#	Gender: name gender
#		F: female
#		M: male
#		U: unisex
#	Type: type of name
#		G: given name
#		S: surname, last name
#		B: last name, Professional Nisba i.e. business or profession related
#		C: last name, Tribal Nisba i.e. clan related
#		K: last name, Kunya i.e. paternal or maternal related
#		L: last name, Geogrpahic Nisba i.e. location related
#		N: last name, Nasab i.e. direct or legendary lineage
#		P: middle name, patronymic
#	Trans: Variant's regional transcription language
#		DE: German  (Germanic)
#		EN: English  (Anglophone)
#		ES: Spanish  (Hispanic)
#		FR: French (Francophone)
#		IT: Italian
#		NL: Dutch  (Germanic)
#		TR: Turkish
#	Spelling: Type of regional spelling
#		A: Adaptive transcription
#		E: Extended characters
#		F: False variant
#		M: Matres lectionis
#		S: Standard spelling
#	Pronunciation: Pronunciation type
#		L: Local accent
#		S: Standard pronunciation
#	Origin: Possible ethnic origin
#		NAN: Native Arabic
#		QAS: Quasi-Arabic
#		AFR: African
#		AMZ: Amazigh
#		ARM: Armenian
#		GRK: Greek
#		HEB: Hebrew
#		HND: Hindi
#		PER: Persian
#		RUS: Russian
#		TUR: Turkish
#		WST: Western
#	Reference: reference to the valid name
#	Country: name variant dominant geographies, two-letter country code.
#		NN: Non-native name or neutral name,
#		DZ:Algeria, BH:Bahrain, EG:Egypt, IQ:Iraq, JO:Jordan, 
#		SA:Saudi Arabia, KW:Kuwait, LB:Lebanon, LY:Libya, MR:Mauritania, 
#		MA:Morocco, OM:Oman, PS:Palestine, QA:Qatar, SD:Sudan, 
#		SY:Syria, TN:Tunisia, AE:United Arab Emirates, YE:Yemen
#		Please refer to codes page: www.kalmasoft.com/code.htm
# ================================================
# Notes:
# (1) Variant names follow common Arabic orthography.
# (2) The vocalized form is the most correct pronunciation according to the corresponding region where used.
# (3) Surnames are detailed further to P, B, C, K, and N, all may be considered surnames.
# (4) Few hundreds non-Arabic names added, those are names common in Egypt, Lebanon, Jordan, Syria and Iraq, mostly Christian names, those few thousands "most common" names of non-Arabic origins that found in Arabic region for the following communities: African (e.g. بابو), Armenian (e.g. سركيس), Berber (e.g. تاشفين), Coptic (e.g. دميانة), Kurdish (e.g. آراس), Persian (e.g. آناهيد), Roman (e.g. بطرس), Turkish (e.g. حكمت).
# (5) Romanization for names of non-Arabic origins will be identical to their English orthography if applicable e.g. (جوزيف = Joseph).
# (6) No reference to community or ethnic group is given for names of non-Arabic origins, only the the country code.
# (7) Names of non-Arabic origins were kept to minimum (~1%) of total distinct names (basic set) so as not to give way to the much larger set of non-Arabic names already available as different data set here www.kalmasoft.com/KLEX/dbnames.htm
# (8) True orthographic variants (mainly space added) were kept to minimum.
# (9) False variants are mostly common spelling errors being either "Initial Hamza over Alif (أ) replaced by Alif (ا)", "Initial Hamza under Alif (إ) replaced by Alif (ا)", "Taa Marbuta (ة) replaced by Final Haa (ه)", "Final Yaa (ي) replaced by Alif Maqsura (ى)", or the space in multipart names.
# =================================================
ID	Arabic	Vocalized	Roman	Gender	Type	Transcript	Spelling	Pronunciation	Origin	Country
A000045	البهلول	البَهْلُول	Albahlul	M	S	EN	S	S	NAN	TN
A000046	البهلول	البُهْلُول	Albohlool	M	S	NL	S	S	NAN	TN
A000047	البهلول	البُهْلُول	Albouhloul	M	S	FR	S	S	NAN	TN
A000048	البهلول	البُهْلُول	Albuhlol	M	S	ES	S	S	NAN	TN
A000049	البهلول	البُهْلُول	Albuhlul	M	S	EN	S	S	NAN	TN
A000050	البواطنة	البَواطِنة	Albawatina	M	C	EN	S	S	NAN	JO
A000051	البواطنة	البَواطِنة	Albawatinah	M	C	EN	S	S	NAN	JO
A000052	البواعنة	البَواعِنة	Albawaina	M	C	EN	S	S	NAN	JO
A000053	البواعنة	البَواعِنة	Albawainah	M	C	EN	S	S	NAN	JO
A000054	البوالصة	البَوالِصة	Albawalisa	M	C	EN	S	S	NAN	JO
A000055	البوالصة	البَوالِصة	Albawalisah	M	C	EN	S	S	NAN	JO
A000056	البوعلي	البُوعَلِي	Albawali	M	S	EN	S	S	NAN	TN
A000057	البوعلي	البُوعَلِي	Albawaly	M	S	EN	S	S	NAN	TN
A000058	البياتي	البياتِي	Albyati	M	S	EN	S	S	NAN	IQ
A000059	البياتي	البياتِي	Albyaty	M	S	EN	S	S	NAN	IQ
A000060	البيداء	البَيْدَاء	Albaida	F	G	EN	S	S	NAN	NN
A000061	البيداء	البَيْدَاء	Albayda	F	G	EN	S	S	NAN	NN
A000062	البيداء	البَيْدَاء	Albaydaa	F	G	DE	S	S	NAN	NN
A000063	البيش	البَيْش	Albaych	M	S	FR	S	S	NAN	MA
A000064	البيش	البَيْش	Albaysh	M	S	EN	S	S	NAN	MA
A000065	البيضاء	البَيْضَاء	Albaida	F	G	IT	S	S	NAN	NN
A000066	البيضاء	البَيْضَاء	Albayda	F	G	EN	S	S	NAN	NN
A000067	البيضاء	البَيْضَاء	Albaydaa	F	G	DE	S	S	NAN	NN
A000068	البيضاء	البَيْضَاء	Elbaida	F	G	FR	S	S	NAN	NN
A000069	البيضاء	البَيْضَاء	Elbayda	F	G	ES	S	S	NAN	NN
A000070	الطميهي	الطِمَيْهِي	Altimayhi	M	S	EN	S	L	NAN	EG
A000071	الطميوي	الطِمَيْوِي	Altimaywi	M	S	EN	S	L	NAN	PS
A000072	الطنيحي	الطِنَيْحِي	Altinayhi	M	S	EN	S	L	NAN	EG
A000073	الطنيخي	الطِنَيْخِي	Altinaykhi	M	S	EN	S	L	NAN	EG
A000074	الطنيزي	الطِنَيْزِي	Altinayzi	M	S	EN	S	L	NAN	IQ
A000075	الطنيقي	الطِنَيْقِي	Altinayqi	M	S	EN	S	L	NAN	OM
A000076	الطنيمي	الطِنَيْمِي	Altinaymi	M	S	EN	S	L	NAN	SA
A000077	الطهيشي	الطِهَيْشِي	Altihayshi	M	S	EN	S	L	NAN	YE
A000078	الطهيطي	الطِهَيْطِي	Altihayti	M	S	EN	S	L	NAN	YE
A000079	الطهيفي	الطِهَيْفِي	Altihayfi	M	S	EN	S	L	NAN	AE
A000080	الطهيقي	الطِهَيْقِي	Altihayqi	M	S	EN	S	L	NAN	YE
A000081	الطهيني	الطِهَيْنِي	Altihayni	M	S	EN	S	L	NAN	YE
A000082	الطويبي	الطِوَيْبِي	Altiwaybi	M	S	EN	S	L	NAN	LY
A000083	الطويخي	الطِوَيْخِي	Altiwaykhi	M	S	EN	S	L	NAN	EG
A000084	الطويدي	الطِوَيْدِي	Altiwaydi	M	S	EN	S	L	NAN	YE
A000085	الطويري	الطِوَيْرِي	Altiwayri	M	S	EN	S	L	NAN	YE
A000086	الطويريقي	الطِوَيْرِيقي	Altiwayriqy	M	S	EN	S	L	NAN	SA
A000087	الطويشي	الطِوَيْشِي	Altiwayshi	M	S	EN	S	L	NAN	JO
A000088	الطويطين	الطِوَيْطِين	Altiwaytin	M	S	EN	S	L	NAN	SA
A000089	الطويعي	الطِوَيْعِي	Altiwayai	M	S	EN	S	L	NAN	SA
A000090	الطويقي	الطِوَيْقِي	Altiwayqi	M	S	EN	S	L	NAN	YE
A000091	الطويكي	الطِوَيْكِي	Altiwayki	M	S	EN	S	L	NAN	YE
A000092	الطويلية	الطِوَيْلِية	Altiwayliah	M	S	EN	S	L	NAN	YE
A000093	الطويني	الطِوَيْنِي	Altiwayni	M	S	EN	S	L	NAN	IQ
A000094	الطويهي	الطِوَيْهِي	Altiwayhi	M	S	EN	S	L	NAN	YE
A000095	الطويوي	الطِوَيْوِي	Altiwaywi	M	S	EN	S	L	NAN	YE
A000096	الظبيبي	الظِبَيْبِي	Aldhibaybi	M	S	EN	S	L	NAN	KW
A000097	الظبيري	الظِبَيْرِي	Aldhibayri	M	S	EN	S	L	NAN	KW
A000098	الظبيطي	الظِبَيْطِي	Aldhibayti	M	S	EN	S	L	NAN	SA
A000099	الظبيعي	الظِبَيْعِي	Aldhibayai	M	S	EN	S	L	NAN	YE
A000100	الظريبي	الظِرَيْبِي	Aldhiraybi	M	S	EN	S	L	NAN	YE
A000101	الظريسي	الظِرَيْسِي	Aldhiraysi	M	S	EN	S	L	NAN	YE
A000102	الظريفي	الظِرَيْفِي	Aldhirayfi	M	S	EN	S	L	NAN	YE
A000103	الظريقي	الظِرَيْقِي	Aldhirayqi	M	S	EN	S	L	NAN	YE
A000104	الظريمي	الظِرَيْمِي	Aldhiraymi	M	S	EN	S	L	NAN	YE
A000105	الظريني	الظِرَيْنِي	Aldhirayni	M	S	EN	S	L	NAN	YE
A000106	الظعيني	الظِعَيْنِي	Aldhiayni	M	S	EN	S	L	NAN	YE
A000107	الظليلي	الظِلَيْلِي	Aldhilayli	M	S	EN	S	L	NAN	YE
A000108	الظليمي	الظِلَيْمِي	Aldhilaymi	M	S	EN	S	L	NAN	YE
A000109	الظميري	الظِمَيْرِي	Aldhimayri	M	S	EN	S	L	NAN	YE
A000110	الظميني	الظِمَيْنِي	Aldhimayni	M	S	EN	S	L	NAN	YE
A000111	الظنيني	الظِنَيْنِي	Aldhinayni	M	S	EN	S	L	NAN	EG
A000112	الظهيبي	الظِهَيْبِي	Aldhihaybi	M	S	EN	S	L	NAN	YE
A000113	الظهيري	الظِهَيْرِي	Aldhihayri	M	S	EN	S	L	NAN	LY
A000114	الظهيفي	الظِهَيْفِي	Aldhihayfi	M	S	EN	S	L	NAN	YE
A000115	الظويري	الظِوَيْرِي	Aldhiwayri	M	S	EN	S	L	NAN	IQ
A000116	الظويعي	الظِوَيْعِي	Aldhiwayai	M	S	EN	S	L	NAN	YE
A000117	الظويلي	الظِوَيْلِي	Aldhiwayli	M	S	EN	S	L	NAN	KW
A000118	العبدولي	العَبْدُولِي	Alabduli	M	S	EN	S	L	NAN	AE
A000119	العبيتي	العِبَيْتِي	Alaibayti	M	S	EN	S	L	NAN	YE
A000120	العبيخي	العِبَيْخِي	Alaibaykhi	M	S	EN	S	L	NAN	YE
A000121	العبيدي	العِبَيْدِي	Alaibaydi	M	S	EN	S	L	NAN	IQ
A000122	العبيري	العِبَيْرِي	Alaibayri	M	S	EN	S	L	NAN	SA
A000123	العبيسي	العِبَيْسِي	Alaibaysi	M	S	EN	S	L	NAN	EG
A000124	العبيسية	العِبَيْسِية	Alaibaysiah	M	C	EN	S	L	NAN	JO
A000125	العبيشي	العِبَيْشِي	Alaibayshi	M	S	EN	S	L	NAN	SA
A000126	العبيطي	العِبَيْطِي	Alaibayti	M	S	EN	S	L	NAN	YE
A000127	العبيكي	العِبَيْكِي	Alaibayki	M	S	EN	S	L	NAN	SA
A000128	العبيلي	العِبَيْلِي	Alaibayli	M	S	EN	S	L	NAN	SA
A000129	العبيوي	العِبَيْوِي	Alaibaywi	M	S	EN	S	L	NAN	SA
A000130	العتيبي	العِتَيْبِي	Alaitaybi	M	S	EN	S	L	NAN	KW
A000131	العتيبية	العِتَيْبِية	Alaitaybiah	M	S	EN	S	L	NAN	SA
A000132	العتيري	العِتَيْرِي	Alaitayri	M	S	EN	S	L	NAN	JO
A000133	العتيسي	العِتَيْسِي	Alaitaysi	M	S	EN	S	L	NAN	YE
A000134	العتيفي	العِتَيْفِي	Alaitayfi	M	S	EN	S	L	NAN	YE
A000135	العتيقي	العِتَيْقِي	Alaitayqi	M	S	EN	S	L	NAN	KW
A000136	العتيلي	العِتَيْلِي	Alaitayli	M	S	EN	S	L	NAN	YE
A000137	العتيلية	العِتَيْلِية	Alaitayliah	M	S	EN	S	L	NAN	YE
A000138	العتيمي	العِتَيْمِي	Alaitaymi	M	S	EN	S	L	NAN	EG
A000139	العتيني	العِتَيْنِي	Alaitayni	M	S	EN	S	L	NAN	YE
A000140	العثيثي	العِثَيْثِي	Alaithaythi	M	S	EN	S	L	NAN	YE
A000141	العثيري	العِثَيْرِي	Alaithayri	M	S	EN	S	L	NAN	YE
A000142	العثيلي	العِثَيْلِي	Alaithayli	M	S	EN	S	L	NAN	YE
A000143	العثيمي	العِثَيْمِي	Alaithaymi	M	S	EN	S	L	NAN	YE
A000144	العثيني	العِثَيْنِي	Alaithayni	M	S	EN	S	L	NAN	YE
A000145	العجيبي	العِجَيْبِي	Alaijaybi	M	S	EN	S	L	NAN	EG
A000146	العجيجي	العِجَيْجِي	Alaijayji	M	S	EN	S	L	NAN	YE
A000147	العجيدي	العِجَيْدِي	Alaijaydi	M	S	EN	S	L	NAN	YE
A000148	العجيري	العِجَيْرِي	Alaijayri	M	S	EN	S	L	NAN	EG
A000149	العجيزي	العِجَيْزِي	Alaijayzi	M	S	EN	S	L	NAN	EG
A000150	العجيلي	العِجَيْلِي	Alaijayli	M	S	EN	S	L	NAN	LY
A000151	العجيمي	العِجَيْمِي	Alaijaymi	M	S	EN	S	L	NAN	EG
A000152	العجيني	العِجَيْنِي	Alaijayni	M	S	EN	S	L	NAN	YE
A000153	العديبي	العِدَيْبِي	Alaidaybi	M	S	EN	S	L	NAN	YE
A000154	العديحي	العِدَيْحِي	Alaidayhi	M	S	EN	S	L	NAN	YE
A000155	العديدي	العِدَيْدِي	Alaidaydi	M	S	EN	S	L	NAN	AE
A000156	العديري	العِدَيْرِي	Alaidayri	M	S	EN	S	L	NAN	YE
A000157	العديسي	العِدَيْسِي	Alaidaysi	M	S	EN	S	L	NAN	EG
A000158	العديقي	العِدَيْقِي	Alaidayqi	M	S	EN	S	L	NAN	YE
A000159	العديلي	العِدَيْلِي	Alaidayli	M	S	EN	S	L	NAN	SA
A000160	العديمي	العِدَيْمِي	Alaidaymi	M	S	EN	S	L	NAN	YE
A000161	العديوي	العِدَيْوِي	Alaidaywi	M	S	EN	S	L	NAN	SY
A000162	العذيبي	العِذَيْبِي	Alaidhaybi	M	S	EN	S	L	NAN	YE
A000163	العذيتي	العِذَيْتِي	Alaidhayti	M	S	EN	S	L	NAN	YE
A000164	العذيدي	العِذَيْدِي	Alaidhaydi	M	S	EN	S	L	NAN	YE
A000165	العذيذي	العِذَيْذِي	Alaidhaydhi	M	S	EN	S	L	NAN	YE
A000166	العذيري	العِذَيْرِي	Alaidhayri	M	S	EN	S	L	NAN	YE
A000167	العذيقي	العِذَيْقِي	Alaidhayqi	M	S	EN	S	L	NAN	SA
A000168	العذيلي	العِذَيْلِي	Alaidhayli	M	S	EN	S	L	NAN	YE
A000169	العذيمي	العِذَيْمِي	Alaidhaymi	M	S	EN	S	L	NAN	YE
A000170	العريبيب	العِرَيْبِيب	Alairaybib	M	S	EN	S	L	NAN	YE
A000171	العريتي	العِرَيْتِي	Alairayti	M	S	EN	S	L	NAN	SA
A000172	العريثي	العِرَيْثِي	Alairaythi	M	S	EN	S	L	NAN	YE
A000173	العريجي	العِرَيْجِي	Alairayji	M	S	EN	S	L	NAN	YE
A000174	العريحي	العِرَيْحِي	Alairayhi	M	S	EN	S	L	NAN	YE
A000175	العريدي	العِرَيْدِي	Alairaydi	M	S	EN	S	L	NAN	JO
A000176	العريري	العِرَيْرِي	Alairayri	M	S	EN	S	L	NAN	JO
A000177	العريزي	العِرَيْزِي	Alairayzi	M	S	EN	S	L	NAN	YE
A000178	العريسي	العِرَيْسِي	Alairaysi	M	S	EN	S	L	NAN	YE
A000179	العريسية	العِرَيْسِية	Alairaysiah	M	S	EN	S	L	NAN	YE
A000180	العريسيس	العِرَيْسِيس	Alairaysis	M	S	EN	S	L	NAN	EG
A000181	العريشي	العِرَيْشِي	Alairayshi	M	S	EN	S	L	NAN	SA
A000182	العريشية	العِرَيْشِية	Alairayshiah	M	S	EN	S	L	NAN	LY
A000183	العريضي	العِرَيْضِي	Alairaydi	M	S	EN	S	L	NAN	LY
A000184	العريطي	العِرَيْطِي	Alairayti	M	S	EN	S	L	NAN	YE
A000185	العريعي	العِرَيْعِي	Alairayai	M	S	EN	S	L	NAN	YE
A000186	العريفيج	العِرَيْفِيج	Alairayfij	M	S	EN	S	L	NAN	SA
A000187	العريقي	العِرَيْقِي	Alairayqi	M	S	EN	S	L	NAN	YE
A000188	العريقيل	العِرَيْقِيل	Alairayqil	M	S	EN	S	L	NAN	SA
A000189	العريكي	العِرَيْكِي	Alairayki	M	S	EN	S	L	NAN	SA
A000190	العريمي	العِرَيْمِي	Alairaymi	M	S	EN	S	L	NAN	OM
A000191	العريمية	العِرَيْمِية	Alairaymiah	M	S	EN	S	L	NAN	OM
A000192	العريمين	العِرَيْمِين	Alairaymin	M	C	EN	S	L	NAN	JO
A000193	العريوي	العِرَيْوِي	Alairaywi	M	S	EN	S	L	NAN	SA
A000194	العزيبي	العِزَيْبِي	Alaizaybi	M	S	EN	S	L	NAN	LY
A000195	العزيحي	العِزَيْحِي	Alaizayhi	M	S	EN	S	L	NAN	YE
A000196	العزيدي	العِزَيْدِي	Alaizaydi	M	S	EN	S	L	NAN	YE
A000197	العزيري	العِزَيْرِي	Alaizayri	M	S	EN	S	L	NAN	EG
A000198	العزيزي	العِزَيْزِي	Alaizayzi	M	S	EN	S	L	NAN	EG
A000199	العزيزية	العِزَيْزِية	Alaizayziah	M	S	EN	S	L	NAN	AE
A000200	العزيكي	العِزَيْكِي	Alaizayki	M	S	EN	S	L	NAN	YE
A000201	العزيلي	العِزَيْلِي	Alaizayli	M	S	EN	S	L	NAN	YE
A000202	العزيوي	العِزَيْوِي	Alaizaywi	M	S	EN	S	L	NAN	LY
A000203	العسيبي	العِسَيْبِي	Alaisaybi	M	S	EN	S	L	NAN	YE
A000204	العسيدي	العِسَيْدِي	Alaisaydi	M	S	EN	S	L	NAN	SA
A000205	العسيري	العِسَيْرِي	Alaisayri	M	S	EN	S	L	NAN	SA
A000206	العسيرية	العِسَيْرِية	Alaisayriah	M	S	EN	S	L	NAN	SA
A000207	العسيسي	العِسَيْسِي	Alaisaysi	M	S	EN	S	L	NAN	YE
A000208	العسيقي	العِسَيْقِي	Alaisayqi	M	S	EN	S	L	NAN	YE
A000209	العسيمي	العِسَيْمِي	Alaisaymi	M	S	EN	S	L	NAN	YE
A000210	العسيني	العِسَيْنِي	Alaisayni	M	S	EN	S	L	NAN	YE
A000211	العسيوي	العِسَيْوِي	Alaisaywi	M	S	EN	S	L	NAN	SA
A000212	العشيبي	العِشَيْبِي	Alaishaybi	M	S	EN	S	L	NAN	LY
A000213	العشيتي	العِشَيْتِي	Alaishayti	M	S	EN	S	L	NAN	YE
A000214	العشيدي	العِشَيْدِي	Alaishaydi	M	S	EN	S	L	NAN	SA
A000215	العشيري	العِشَيْرِي	Alaishayri	M	S	EN	S	L	NAN	EG
A000216	العشيسي	العِشَيْسِي	Alaishaysi	M	S	EN	S	L	NAN	YE
A000217	العشيشي	العِشَيْشِي	Alaishayshi	M	S	EN	S	L	NAN	YE
A000218	العشيمي	العِشَيْمِي	Alaishaymi	M	S	EN	S	L	NAN	YE
A000219	العشيني	العِشَيْنِي	Alaishayni	M	S	EN	S	L	NAN	LY
A000220	العشيوي	العِشَيْوِي	Alaishaywi	M	S	EN	S	L	NAN	SA
A000221	العصيبي	العِصَيْبِي	Alaisaybi	M	S	EN	S	L	NAN	SA
A000222	العصيدي	العِصَيْدِي	Alaisaydi	M	S	EN	S	L	NAN	YE
A000223	العصيري	العِصَيْرِي	Alaisayri	M	S	EN	S	L	NAN	JO
A000224	العصيصي	العِصَيْصِي	Alaisaysi	M	S	EN	S	L	NAN	YE
A000225	العصيطي	العِصَيْطِي	Alaisayti	M	S	EN	S	L	NAN	YE
A000226	العصيعي	العِصَيْعِي	Alaisayai	M	S	EN	S	L	NAN	YE
A000227	العصيفي	العِصَيْفِي	Alaisayfi	M	S	EN	S	L	NAN	JO
A000228	العصيمي	العِصَيْمِي	Alaisaymi	M	S	EN	S	L	NAN	SA
A000229	العطوي	العَطُوي	Alatuy	M	S	EN	S	L	NAN	LY
A000230	العگيدي	العِگَيْدِي	Elikaidi	M	S	FR	S	L	NAN	IQ
